KOR_NUM,month,KOR_NM,temperature,temp_max,temp_min
0,1,강화,-3.235565812,8.844961981,-15.35693883
1,1,거제,2.725500897,13.69140925,-7.030812545
2,1,거창,-1.312436762,12.28985661,-14.09993724
3,1,고창,-0.178588574,12.02502039,-10.53423483
4,1,고흥,1.66434797,13.78589572,-9.502566782
5,1,광주,1.109437226,13.13818807,-9.068604708
6,1,구미,-0.601401496,11.57255989,-11.82712127
7,1,군산,-0.061991298,11.2387197,-10.50040003
8,1,금산,-2.341520854,11.7422462,-15.91399964
9,1,남원,-1.424227627,12.5825024,-14.65746947
10,1,남해,2.268846647,13.29373869,-8.100757399
11,1,대구,1.036707078,12.6482301,-9.496010259
12,1,대전,-1.001873603,11.53550683,-13.04377123
13,1,동두천,-3.805652972,9.982060808,-16.93297766
14,1,동해,1.178500901,12.33204654,-9.648085527
15,1,목포,1.900104956,12.64365213,-7.182433601
16,1,문경,-1.654543897,10.19942804,-13.5670877
17,1,밀양,0.509165116,13.84383101,-11.6302805
18,1,보령,-0.273022801,11.45844012,-11.55815875
19,1,보은,-2.936873469,10.67182701,-16.57606201
20,1,봉화,-3.994440427,9.794899246,-18.90575727
21,1,부산,3.668149415,14.62904143,-7.413887584
22,1,부안,-0.149683583,12.26405263,-12.28430968
23,1,부여,-1.508744928,11.37866521,-14.45106083
24,1,산청,0.430511471,12.88361799,-11.209372
25,1,상주,-0.964368946,10.99483497,-12.21622801
26,1,서귀포,7.363810555,16.97121439,-1.139117628
27,1,서산,-1.695406779,10.42987679,-13.31486462
28,1,서울,-1.965283125,9.49634969,-13.14408894
29,1,속초,0.107287429,10.62420373,-11.22376009
30,1,수원,-2.098474785,10.19779471,-14.00322271
31,1,안동,-1.819290704,10.9061444,-14.9173602
32,1,양평,-3.509030641,9.45750809,-17.16757212
33,1,여수,2.869541962,12.64055229,-6.870377896
34,1,영덕,1.094338187,12.84604708,-10.34836412
35,1,영원,-3.607196966,9.827483342,-17.82197257
36,1,영주,-2.321279193,9.793651766,-15.55581038
37,1,영천,-0.50065069,12.33455557,-12.99225321
38,1,완도,2.876806049,13.56119118,-5.614380083
39,1,울릉,1.778147893,11.44198353,-6.629686758
40,1,울산,2.422471515,14.30432235,-8.370651177
41,1,울진,1.421337061,13.12899444,-9.873293219
42,1,원주,-3.177536039,9.669745077,-16.33109027
43,1,의성,-3.018183025,11.67022453,-17.59855765
44,1,이천,-3.091416105,9.719515182,-16.86952881
45,1,인제,-4.642012555,8.193964473,-18.92101859
46,1,인천,-1.575810397,9.56117514,-12.13680821
47,1,임실,-2.544206706,11.94242034,-16.71323985
48,1,장수,-3.084778563,10.97879561,-17.51215659
49,1,장흥,0.980594004,13.85487266,-10.34519175
50,1,전주,0.027787302,12.68027873,-11.3999478
51,1,정읍,-0.189432936,12.59483795,-11.61035564
52,1,제주,6.247605469,16.23997925,-0.871653535
53,1,제천,-4.756912704,8.718291978,-19.52859509
54,1,진도,-0.619063743,11.64574616,-9.177584957
55,1,진주,0.283859487,13.34062074,-11.97250782
56,1,창원,2.66545343,13.62617184,-7.954678926
57,1,천안,-2.370412921,10.700242,-15.90418661
58,1,철원,-5.711924178,7.835270417,-20.46865695
59,1,청주,-1.499080347,10.63093722,-13.58833693
60,1,춘천,-4.15561983,8.24384337,-17.71188541
61,1,태백,-4.743119604,8.335398258,-17.54450114
62,1,통영,3.233856447,13.89336033,-7.021285278
63,1,포항,2.308463295,13.51648207,-8.585928533
64,1,합천,-0.140454786,13.17244736,-12.63235374
65,1,해남,1.37099912,13.86075033,-10.09067243
66,1,홍천,-4.81490407,8.832991974,-19.41796246
0,2,강화,-0.612340265,12.23221288,-12.84982144
1,2,거제,4.518408985,16.25999986,-5.742655854
2,2,거창,0.962137277,16.90022552,-12.56279366
3,2,고창,2.200352653,17.82445589,-8.87213818
4,2,고흥,3.389663533,16.56437341,-8.060935222
5,2,광주,3.022817451,17.18088679,-7.334620375
6,2,구미,1.82134986,16.59547773,-10.10741623
7,2,군산,1.537130352,14.98026656,-8.274273182
8,2,금산,0.100076593,15.99386448,-13.50996907
9,2,남원,0.944562029,16.81231298,-11.97952852
10,2,남해,4.132385545,16.74822732,-6.700885961
11,2,대구,3.444805313,17.30700413,-7.723164019
12,2,대전,1.412126404,15.56031581,-10.73809867
13,2,동두천,-0.553852521,14.90762382,-14.00829671
14,2,동해,2.847652799,15.49823001,-8.028548185
15,2,목포,3.113796987,15.63217357,-5.635752609
16,2,문경,0.693803762,14.82578065,-11.70332047
17,2,밀양,2.933807187,17.88874619,-9.789200003
18,2,보령,1.286336434,14.27461201,-9.545761507
19,2,보은,-0.521827872,14.87097134,-14.61465189
20,2,봉화,-1.491158244,14.08159783,-16.61718533
21,2,부산,5.474407699,17.08334255,-5.987351984
22,2,부안,1.697589273,16.00902571,-9.307672671
23,2,부여,0.788965281,15.46895095,-11.52153505
24,2,산청,2.390633141,17.08694574,-9.878738615
25,2,상주,1.436073504,15.90413946,-10.44867672
26,2,서귀포,8.327011834,17.925557,-0.421970309
27,2,서산,0.187633095,13.66642918,-11.51388481
28,2,서울,0.728267563,13.58695019,-10.71800118
29,2,속초,1.865287161,14.22011454,-9.550751428
30,2,수원,0.333602039,14.02378873,-11.47639658
31,2,안동,0.775666097,15.56064799,-12.51263191
32,2,양평,-0.450036878,14.05786814,-14.11090926
33,2,여수,4.478226423,15.13593322,-5.666370993
34,2,영덕,2.951506835,17.09981219,-8.28473896
35,2,영원,-0.710624556,14.5205121,-15.25963385
36,2,영주,0.208280101,14.31757755,-13.23524638
37,2,영천,1.799705234,16.81356917,-11.0537213
38,2,완도,4.045181315,15.82449729,-4.436388944
39,2,울릉,2.558703912,13.09875755,-5.497031367
40,2,울산,4.364030862,17.84047596,-6.935387567
41,2,울진,3.004526186,16.48374557,-8.192593695
42,2,원주,-0.257043235,14.39052758,-13.32268313
43,2,의성,-0.243764757,16.39312049,-14.96314852
44,2,이천,-0.224650221,14.19504164,-13.86297548
45,2,인제,-1.730434393,13.05618511,-16.0416009
46,2,인천,0.699037482,12.68828146,-9.844512692
47,2,임실,-0.188368455,16.09291585,-13.77593328
48,2,장수,-0.765008923,14.58926132,-15.09595439
49,2,장흥,2.770105415,16.57728047,-8.70660483
50,2,전주,2.06333561,16.7160989,-9.287955232
51,2,정읍,1.777425279,16.65397149,-9.341145754
52,2,제주,6.982250211,18.97668667,-0.587484813
53,2,제천,-1.838995583,13.35426469,-16.88221394
54,2,진도,0.950020146,14.20111734,-8.207132994
55,2,진주,2.689276055,17.44055558,-10.12709595
56,2,창원,4.662626706,16.67971455,-6.347279014
57,2,천안,-0.01258404,14.81597343,-13.28689061
58,2,철원,-2.333088639,12.49215147,-17.36385006
59,2,청주,1.010429294,15.37019404,-11.10598201
60,2,춘천,-0.997669778,13.52895397,-14.84218646
61,2,태백,-2.587217721,11.98172322,-16.43990245
62,2,통영,4.928362344,15.8954586,-5.63983448
63,2,포항,4.348139174,17.847736,-6.956533806
64,2,합천,2.320943579,17.90692893,-10.55997301
65,2,해남,2.661568791,16.44876101,-8.372969169
66,2,홍천,-1.683019327,13.91065823,-16.47871649
0,3,강화,4.819351687,17.52139375,-6.748947309
1,3,거제,8.635216293,20.35711192,-2.279519
2,3,거창,6.011203843,22.33796677,-7.439891743
3,3,고창,7.429972706,23.36712283,-4.4711094
4,3,고흥,7.615116624,21.00470207,-4.600905463
5,3,광주,7.697631642,22.09260193,-3.475195346
6,3,구미,7.178525597,22.74851828,-4.86975774
7,3,군산,6.004419552,19.88243848,-3.883462231
8,3,금산,5.430828115,22.0362724,-8.055234528
9,3,남원,6.132742731,22.28180405,-7.384476064
10,3,남해,8.432713959,20.84527991,-3.002633915
11,3,대구,8.495621848,23.12047769,-3.061162491
12,3,대전,6.771584968,21.69846638,-5.197086373
13,3,동두천,5.438059411,21.30012852,-7.397115992
14,3,동해,7.051002955,20.45865913,-3.61696476
15,3,목포,7.101968941,19.77641137,-2.133962727
16,3,문경,5.999162394,21.23282702,-6.352982609
17,3,밀양,7.82825415,22.43926941,-5.374174882
18,3,보령,5.652521191,18.62931712,-5.237301652
19,3,보은,4.97541915,21.25089517,-8.24256978
20,3,봉화,3.800919295,19.88039609,-9.890798557
21,3,부산,9.308881939,20.07482312,-1.86103003
22,3,부안,6.049442316,20.9263255,-4.941106351
23,3,부여,5.817917029,21.14519299,-6.943425111
24,3,산청,7.115608413,22.18319365,-5.195802629
25,3,상주,7.073004337,22.74412535,-5.055801556
26,3,서귀포,11.21634438,20.46334065,1.683046527
27,3,서산,5.030567956,19.11433014,-6.796297884
28,3,서울,6.30616483,19.44698378,-4.716578784
29,3,속초,6.392952436,19.81490628,-4.411049141
30,3,수원,5.807622729,19.90139292,-5.546415625
31,3,안동,6.165406002,21.58657612,-6.422706595
32,3,양평,5.440291593,20.47546587,-7.330358635
33,3,여수,8.525631545,18.73008885,-1.644596578
34,3,영덕,7.07505777,22.2532266,-4.005525261
35,3,영원,5.043309431,20.99814074,-8.709226854
36,3,영주,5.539625821,20.62124263,-6.779564243
37,3,영천,6.688560379,22.39064234,-6.157502472
38,3,완도,8.026498412,19.72096813,-1.627150714
39,3,울릉,6.028758947,17.03027097,-2.688097755
40,3,울산,8.565433877,21.80842306,-2.610038861
41,3,울진,7.078090525,21.56035148,-3.876258759
42,3,원주,5.661556204,20.63328806,-6.898830597
43,3,의성,5.442522771,22.64676307,-9.326850502
44,3,이천,5.484589278,20.75208879,-7.072883087
45,3,인제,4.178422834,19.60338587,-8.739307667
46,3,인천,5.758977369,17.52114135,-3.700760062
47,3,임실,4.834746676,21.23175506,-8.460994848
48,3,장수,4.409479488,20.20125233,-8.684660784
49,3,장흥,6.987033341,21.18057501,-5.712577077
50,3,전주,6.998805617,22.19401481,-4.795729948
51,3,정읍,6.553404239,21.89976326,-4.826010352
52,3,제주,10.05102612,21.47501223,1.626068597
53,3,제천,3.991079093,19.93192862,-9.758828213
54,3,진도,4.966804728,19.24011744,-5.109053653
55,3,진주,7.437601175,21.67463226,-5.83228295
56,3,창원,8.919125138,20.92331124,-2.186266958
57,3,천안,5.504981759,20.94032919,-6.776007474
58,3,철원,3.852175748,18.98951395,-9.448904829
59,3,청주,6.61493352,21.36569961,-5.148225768
60,3,춘천,5.14043036,20.28388484,-7.586387977
61,3,태백,2.444417883,17.51743372,-11.29592247
62,3,통영,8.885574598,19.08362472,-1.886951507
63,3,포항,8.737961144,22.74230554,-2.430316139
64,3,합천,7.408804277,22.81818134,-6.204319241
65,3,해남,6.867249717,20.34964009,-5.67600125
66,3,홍천,4.513505007,20.58090115,-8.827817833
0,4,강화,10.985779,24.30501665,-0.551901168
1,4,거제,13.42462716,24.98081581,2.64511191
2,4,거창,12.11627678,28.19128136,-2.513685526
3,4,고창,12.72990901,27.65841747,0.190976707
4,4,고흥,12.99004359,25.53065138,-0.173679696
5,4,광주,13.69326682,27.91594799,1.757714015
6,4,구미,13.56489609,29.17884611,-0.043637145
7,4,군산,11.54739553,25.72628528,1.426389094
8,4,금산,11.84049685,28.13163731,-2.882720612
9,4,남원,12.2498769,28.25158832,-2.489095662
10,4,남해,13.79583607,26.28069881,2.294487311
11,4,대구,14.67342998,29.44231972,2.306364482
12,4,대전,13.26459445,27.96838858,0.668209833
13,4,동두천,11.82585704,27.95515583,-0.796871118
14,4,동해,12.45037064,27.3870901,1.548151934
15,4,목포,12.66674993,24.83526679,3.139607233
16,4,문경,12.48443506,28.03305301,-1.041702484
17,4,밀양,13.55082777,28.42515923,-0.557979007
18,4,보령,11.37154512,24.60556798,-0.377284411
19,4,보은,11.46647481,27.55922234,-3.027689408
20,4,봉화,10.13454826,27.29705569,-4.644352585
21,4,부산,14.06536979,24.24924269,4.274535649
22,4,부안,11.80367494,26.73021087,0.028026237
23,4,부여,12.07011067,27.65019121,-1.940173941
24,4,산청,13.0292583,28.38016146,-0.715460319
25,4,상주,13.21230476,29.2682851,0.102619247
26,4,서귀포,15.1630369,23.88936788,6.433475539
27,4,서산,11.20197057,25.46843548,-1.707043113
28,4,서울,12.88325634,26.30814918,2.252828727
29,4,속초,12.15860372,27.26306186,1.513429844
30,4,수원,12.1998309,26.45054468,0.451738667
31,4,안동,12.70060765,28.59100301,-1.218922994
32,4,양평,12.18247497,27.71687337,-1.536025191
33,4,여수,13.62128192,23.17046103,4.380043457
34,4,영덕,12.76835678,28.73547426,-0.021516131
35,4,영원,11.76530493,28.35987143,-2.23088448
36,4,영주,12.03241668,27.80627128,-1.925091036
37,4,영천,12.90853241,28.832476,-1.748378222
38,4,완도,13.18280859,24.23153862,3.468550338
39,4,울릉,11.41240453,23.03247087,2.109992251
40,4,울산,13.91828603,27.79235752,2.357303738
41,4,울진,12.41691721,28.55354379,0.789150131
42,4,원주,12.45985047,27.712146,-0.695349779
43,4,의성,11.96617759,29.3132882,-3.841478722
44,4,이천,12.21279623,27.93275851,-1.389404209
45,4,인제,10.86997199,27.11315391,-2.510156318
46,4,인천,11.74222853,24.51579003,2.931810406
47,4,임실,11.01802064,27.25886539,-3.522566228
48,4,장수,10.71452969,26.23514693,-3.472255064
49,4,장흥,12.49215846,26.30037418,-1.664508392
50,4,전주,13.21130735,28.27024976,0.560972959
51,4,정읍,12.67991365,27.95738609,0.290599047
52,4,제주,14.49216414,25.83836992,5.802898991
53,4,제천,10.78933885,27.28181903,-3.711922108
54,4,진도,10.67040572,24.08328008,0.918957426
55,4,진주,12.92187952,27.09133316,-0.85238722
56,4,창원,14.13319084,26.09963142,3.771856276
57,4,천안,11.93092026,27.51170205,-1.738559393
58,4,철원,10.79013159,26.23651045,-3.274500452
59,4,청주,13.28982891,28.13740183,0.835772525
60,4,춘천,12.01238554,27.83878119,-1.728794235
61,4,태백,9.081062831,24.67613764,-3.702770536
62,4,통영,13.5305179,23.80341069,3.757636453
63,4,포항,14.35190888,29.05927514,3.339724805
64,4,합천,13.42472119,29.21916148,-0.913432515
65,4,해남,12.33228148,25.27822813,-1.582380682
66,4,홍천,11.33612496,28.04567867,-2.641939539
0,5,강화,16.00784023,28.18578665,2.941671301
1,5,거제,18.02171077,29.33986388,8.21827728
2,5,거창,17.15477618,31.13672557,3.260572191
3,5,고창,17.67418036,30.19656669,5.674865544
4,5,고흥,17.57588149,29.64029772,5.630800403
5,5,광주,18.76862921,30.86498668,7.902026561
6,5,구미,18.62137878,31.80664416,5.9224395
7,5,군산,17.14853246,28.75578208,7.709184989
8,5,금산,17.20153806,30.64928141,3.610790634
9,5,남원,17.45316168,31.16740487,0.696011233
10,5,남해,18.33924051,30.07349535,8.554840168
11,5,대구,19.64592967,32.60314862,8.580194476
12,5,대전,18.55703772,30.59608943,7.191515547
13,5,동두천,17.2647612,30.85673107,5.41078065
14,5,동해,16.665486,29.98478477,6.839700428
15,5,목포,17.60065216,27.94752955,9.173771635
16,5,문경,17.35038907,30.63903901,4.47371471
17,5,밀양,18.40046637,32.04029864,5.649194933
18,5,보령,16.63933573,28.28747659,5.839437104
19,5,보은,16.77426709,30.17240456,3.387687515
20,5,봉화,15.45594356,29.90102977,1.358919276
21,5,부산,18.01022787,27.56511451,10.4226356
22,5,부안,17.22625366,29.86230566,6.583721467
23,5,부여,17.63999907,30.64076808,5.0881625
24,5,산청,17.85205399,31.39473637,4.889443267
25,5,상주,18.50373213,31.35061816,6.139302158
26,5,서귀포,19.04304503,27.35962117,11.82743749
27,5,서산,16.71816267,29.16209506,5.482550444
28,5,서울,18.32985334,30.42451885,8.722031517
29,5,속초,16.56488536,30.43672965,6.862034285
30,5,수원,17.68985363,30.1110503,7.272469755
31,5,안동,17.84885536,31.18066008,5.139844442
32,5,양평,17.67086756,30.87682904,5.150981829
33,5,여수,18.02592094,27.31719669,10.78026205
34,5,영덕,17.25430591,31.32235061,5.492421493
35,5,영원,16.94934936,31.06580094,3.786400086
36,5,영주,17.21662855,30.59228027,4.042602982
37,5,영천,17.83806073,32.0191582,4.302992701
38,5,완도,17.518321,28.09736206,9.00521531
39,5,울릉,15.9608902,26.24764784,7.720159913
40,5,울산,18.38321662,30.87423399,8.306475577
41,5,울진,16.51236022,30.7576062,6.017934104
42,5,원주,17.9291316,30.52586791,5.88926088
43,5,의성,17.17121218,31.84462848,2.45292309
44,5,이천,17.66864245,30.78482012,5.502093816
45,5,인제,16.12422259,30.27272518,3.573631682
46,5,인천,16.87925003,28.17917935,9.083755789
47,5,임실,16.31586975,29.92252849,2.281055141
48,5,장수,16.04252112,28.64565714,2.472549144
49,5,장흥,17.45216066,29.78737127,4.260511651
50,5,전주,18.57115128,31.19164515,6.790869895
