KOR_NUM,month,KOR_NM,temperature,temp_max,temp_min
0,1,강화,-3.286294919,8.983638504,-15.59771397
1,1,거제,2.768232905,13.90607123,-7.141045764
2,1,거창,-1.333013919,12.48254422,-14.32100435
3,1,고창,-0.18138859,12.21355574,-10.69939677
4,1,고흥,1.690442597,14.00203911,-9.651553621
5,1,광주,1.126831636,13.34417632,-9.210787633
6,1,구미,-0.610830623,11.7540013,-12.01255384
7,1,군산,-0.062963234,11.41492697,-10.66503149
8,1,금산,-2.378232596,11.92634805,-16.1635087
9,1,남원,-1.446557507,12.77977828,-14.88727791
10,1,남해,2.304418961,13.50216576,-8.227765844
11,1,대구,1.052961182,12.8465365,-9.6448943
12,1,대전,-1.017581568,11.7163673,-13.24827916
13,1,동두천,-3.865320241,10.13856544,-17.19846286
14,1,동해,1.196978132,12.52539562,-9.799353894
15,1,목포,1.929895921,12.84188676,-7.295044025
16,1,문경,-1.68048481,10.35934068,-13.77980049
17,1,밀양,0.517148106,14.06088275,-11.81262689
18,1,보령,-0.277303414,11.63809229,-11.73937437
19,1,보은,-2.982919501,10.8391462,-16.83595127
20,1,봉화,-4.057067617,9.948469445,-19.20217286
21,1,부산,3.725660821,14.85840416,-7.53012688
22,1,부안,-0.152030411,12.45633567,-12.47691032
23,1,부여,-1.532399919,11.55706663,-14.67763307
24,1,산청,0.437261284,13.08561494,-11.38511914
25,1,상주,-0.97948889,11.16721846,-12.40776122
26,1,서귀포,7.479264714,17.23729909,-1.156977385
27,1,서산,-1.721988365,10.59340254,-13.52362291
28,1,서울,-1.996095991,9.645239053,-13.35016971
29,1,속초,0.108969544,10.79077626,-11.39973281
30,1,수원,-2.131375908,10.35768175,-14.22277348
31,1,안동,-1.847814615,11.07713735,-15.15124336
32,1,양평,-3.56404729,9.605788472,-17.43673542
33,1,여수,2.914532331,12.83873831,-6.978095727
34,1,영덕,1.111495865,13.04745497,-10.51061186
35,1,영월,-3.663752724,9.981564413,-18.10139595
36,1,영주,-2.357673575,9.947202406,-15.79970353
37,1,영천,-0.508500186,12.52794399,-13.1959534
38,1,완도,2.921910309,13.77381152,-5.70240564
39,1,울릉도,1.806026743,11.62137769,-6.733630891
40,1,울산,2.46045245,14.52859394,-8.501891176
41,1,울진,1.44362162,13.33483854,-10.02809252
42,1,원주,-3.227355321,9.821353035,-16.58713872
43,1,의성,-3.065503876,11.85319718,-17.8744782
44,1,이천,-3.139885147,9.871903465,-17.13401921
45,1,인제,-4.714792762,8.322434273,-19.21767346
46,1,인천,-1.60051688,9.711080875,-12.32709624
47,1,임실,-2.584096277,12.12966064,-16.97527987
48,1,장수,-3.133143539,11.15092763,-17.7867225
49,1,장흥,0.995968335,14.07209752,-10.50738975
50,1,전주,0.028222968,12.87908761,-11.5786829
51,1,정읍,-0.192402977,12.79230723,-11.79238963
52,1,제주,6.345559107,16.49459921,-0.885319833
53,1,제천,-4.831494383,8.854982494,-19.8347759
54,1,진도,-0.628769789,11.82833502,-9.321476539
55,1,진주,0.288310003,13.54978285,-12.16021985
