KOR_NUM,month,KOR_NM,temperature,temp_max,temp_min
0,1,강화,-3.278368496,8.961970297,-15.56009285
1,1,거제,2.761556029,13.87253029,-7.123821824
2,1,거창,-1.329798738,12.45243679,-14.28646262
3,1,고창,-0.180951088,12.18409709,-10.67359022
4,1,고흥,1.686365312,13.9682667,-9.628274427
5,1,광주,1.124113759,13.31199066,-9.188571551
6,1,구미,-0.609357322,11.72565108,-11.98358
7,1,군산,-0.062811369,11.38739458,-10.63930782
8,1,금산,-2.372496387,11.89758214,-16.12452291
9,1,남원,-1.443068463,12.74895393,-14.85137034
10,1,남해,2.298860787,13.46959903,-8.207920775
11,1,대구,1.050421478,12.81555112,-9.621631169
12,1,대전,-1.015127198,11.68810785,-13.2163248
13,1,동두천,-3.85599723,10.11411159,-17.1569808
14,1,동해,1.194091064,12.49518483,-9.775718211
15,1,목포,1.925241082,12.8109126,-7.277448646
16,1,문경,-1.676431543,10.33435433,-13.74656412
17,1,밀양,0.515900764,14.02696842,-11.78413527
18,1,보령,-0.276634568,11.61002164,-11.71105943
19,1,보은,-2.975724808,10.81300258,-16.79534357
20,1,봉화,-4.047282118,9.924474102,-19.15585793
21,1,부산,3.716674664,14.82256623,-7.51196449
22,1,부안,-0.151663719,12.42629145,-12.44681647
23,1,부여,-1.528703827,11.52919141,-14.64223116
24,1,산청,0.436206626,13.05405292,-11.35765865
25,1,상주,-0.977126399,11.14028354,-12.37783416
26,1,서귀포,7.461225001,17.19572335,-1.154186798
27,1,서산,-1.717834993,10.56785164,-13.49100443
28,1,서울,-1.991281481,9.62197509,-13.31796959
29,1,속초,0.108706714,10.7647493,-11.37223707
30,1,수원,-2.126235108,10.3326994,-14.18846868
31,1,안동,-1.843357754,11.0504197,-15.11469911
32,1,양평,-3.555450939,9.582619662,-17.39467866
33,1,여수,2.907502585,12.80777175,-6.961264816
34,1,영덕,1.108814978,13.01598499,-10.48526065
35,1,영원,-3.654915887,9.957489246,-18.05773605
36,1,영주,-2.351986953,9.923210119,-15.76159523
37,1,영천,-0.507273702,12.49772705,-13.16412525
38,1,완도,2.914862768,13.74058959,-5.688651647
39,1,울릉,1.801670673,11.59334735,-6.71738962
40,1,울산,2.454517929,14.4935515,-8.481384926
41,1,울진,1.440139658,13.3026754,-10.00390513
42,1,원주,-3.219571058,9.797664291,-16.54713115
43,1,의성,-3.058109993,11.8246077,-17.83136561
44,1,이천,-3.132311859,9.848092796,-17.09269259
45,1,인제,-4.703420855,8.302360867,-19.17132114
46,1,인천,-1.596656492,9.687658103,-12.29736373
47,1,임실,-2.577863531,12.10040434,-16.93433612
48,1,장수,-3.125586511,11.124032,-17.74382157
49,1,장흥,0.993566095,14.03815613,-10.48204631
50,1,전주,0.028154895,12.84802372,-11.55075554
51,1,정읍,-0.191938908,12.76145266,-11.76394682
52,1,제주,6.330253851,16.45481484,-0.883184474
53,1,제천,-4.819840996,8.833624601,-19.78693515
54,1,진도,-0.627253219,11.79980551,-9.298993479
55,1,진주,0.28761461,13.51710127,-12.13088985
56,1,창원,2.700714206,13.80642987,-8.059909857
57,1,천안,-2.401770662,10.84179346,-16.11458006
58,1,철원,-5.787486134,7.938921716,-20.73943291
59,1,청주,-1.518911395,10.77157187,-13.76809445
60,1,춘천,-4.210593732,8.352899603,-17.94619257
61,1,태백,-4.805865429,8.445665653,-17.776594
62,1,통영,3.276636518,14.07715294,-7.114168523
63,1,포항,2.339001516,13.69528904,-8.699510146
64,1,합천,-0.142312835,13.34670315,-12.79946474
65,1,해남,1.389135806,14.04411155,-10.22416002
66,1,홍천,-4.878599519,8.949841941,-19.67483898
0,2,강화,-0.620440798,12.39403049,-13.01980927
1,2,거제,4.578182156,16.4751003,-5.818624354
2,2,거창,0.974865208,17.12379538,-12.72898447
3,2,고창,2.229460698,18.06025222,-8.989506005
4,2,고흥,3.434504746,16.78350034,-8.167571798
5,2,광주,3.062805727,17.40816947,-7.43164867
6,2,구미,1.84544415,16.81501614,-10.24112531
7,2,군산,1.557464756,15.17843765,-8.383731965
